"Variable","Importance"
"PDZK1IP1",0
"TAL1",0
"STIL",1.33372851215174e-05
"CMPK1",0
"FOXE3",0
"FOXD2",3.40841730883235e-05
"TRABD2B",0
"SKINTL",0
"SLC5A9",0
"SPATA6",0
"AGBL4",-0.000223770005927683
"BEND5",-5.40901007705985e-05
"ELAVL4",0
"DMRTA2",0
"FAF1",0
"CDKN2C",0
"MIR4421",0.000590545346769413
"C1orf185",0
"RNF11",0
"TTC39A",0
"EPS15",0
"OSBPL9",0
"NRD1",0
"MIR761",0
"RAB3B",0
"RNA5SP48",0
"RN7SL290P",0
"TXNDC12",0
"KTI12",-1.18553645524599e-05
"BTF3L4",0
"ZFYVE9",0
"RN7SL788P",0
"CC2D1B",0
"ORC1",0
"PRPF38A",0
"ZCCHC11",0
"GPX7",0
"FAM159A",0
"SELRC1",0
"RN7SL62P",0
"ZYG11B",0
"ZYG11A",0
"ECHDC2",0
"SCP2",0
"MIR1273F",0
"MIR5095",0
"MIR1273G",0
"PODN",0.000418642560758743
"SLC1A7",0
"CPT2",0
"C1orf123",-7.18731475992884e-05
"MAGOH",0
"LRP8",0
"SLC25A3P1",0.000417901600474215
"DMRTB1",0
"GLIS1",0
"NDC1",0
"YIPF1",0
"DIO1",-6.7427385892117e-05
"HSPB11",0
"LRRC42",0
"LDLRAD1",7.40960284528747e-07
"TMEM59",0
"MIR4781",0
"TCEANC2",1.55601659751037e-05
"CDCP2",0
"CYB5RL",0.000103734439834026
"MRPL37",0
"SSBP3",0
"C1orf191",4.59395376407823e-05
"ACOT11",0
"FAM151A",0
"MROH7",0.00016004742145821
"TTC4",0
"C1orf177",0
"PARS2",0
"TTC22",0
"DHCR24",0
"TMEM61",0
"BSND",0
"PCSK9",0
"USP24",-0.000305275637225844
"MIR4422",0
"RN7SKP291",0
"PPAP2B",0
"PRKAA2",0
"C1orf168",0
"C8A",0
"C8B",0
"DAB1",0
"OMA1",0
"RN7SL713P",-0.000529786603438056
"TACSTD2",0
"MYSM1",0
"JUN",0
"FGGY",0
"MIR4711",0.000331209247184352
"HOOK1",0
"CYP2J2",0.000549051570835802
"RN7SL475P",0
"C1orf87",0
"NFIA",0
"TM2D1",0
"INADL",0
"RN7SL180P",0
"L1TD1",0
"KANK4",0
"USP1",0
"DOCK7",0
"ANGPTL3",0
"ATG4C",0
"LINC00466",0
"RNA5SP49",-0.000102252519264967
"FOXD3",0
"ALG6",-0.000343064611736811
"ITGB3BP",0
"EFCAB7",0
"RN7SL488P",0
"DLEU2L",0
"PGM1",0
"RN7SL130P",-0.000232661529342026
"ROR1",0
"UBE2U",-0.000230438648488441
"CACHD1",0
"MIR4794",0
"RAVER2",0
"JAK1",0
"MIR3671",0
"AK4",0
"DNAJC6",0
"LEPROT",0
"LEPR",0
"RN7SL854P",0
"PDE4B",0
"SGIP1",0.000294902193242441
"MIR3117",8.00237107291058e-05
"TCTEX1D1",0.000181535269709544
"INSL5",-0.00066315945465323
"WDR78",0
"MIER1",0
"SLC35D1",0
"C1orf141",0
"IL23R",0
"RNU4ATAC4P",0.000268227622999407
"IL12RB2",0
"SERBP1",0
"RN7SL392P",-0.000107439241256668
"GADD45A",0
"GNG12",0
"DIRAS3",0
"WLS",-9.48429164196796e-05
"MIR1262",0
"RPE65",0
"DEPDC1",0
"LRRC7",0
"RN7SL538P",0
"PIN1P1",0
"LRRC40",0
"RN7SL242P",0
"SRSF11",0
"ANKRD13C",0
"HHLA3",0
"CTH",0
"PTGER3",0
"ZRANB2",0
"MIR186",0
"NEGR1",0
"RN7SKP19",0
"RNA5SP50",0
"RNU4ATAC8P",0
"LRRIQ3",0
"FPGT",0
"TNNI3K",-0.000720954356846473
"LRRC53",0
"C1orf173",0
"CRYZ",-1.11144042679312e-05
"TYW3",0
"LHX8",0
"SLC44A5",0
"ACADM",0
"RABGGTB",0
"SNORD45C",-0.000168938944872555
"SNORD45A",0
"SNORD45B",0
"MSH4",0
"ASB17",0
"ST6GALNAC3",6.00177830468285e-05
"ST6GALNAC5",0
"PIGK",0
"AK5",-0.000121517486662714
"ZZZ3",0
"RNA5SP20",-8.44694724362782e-05
"RN7SL370P",0
"USP33",8.59513930053346e-05
"FAM73A",0
"RNA5SP21",0
"NEXN",0.000966953171310018
"FUBP1",0
"DNAJB4",0
"GIPC2",0
"RNA5SP22",0
"PTGFR",0
"RNA5SP23",0
"IFI44L",0
"IFI44",0
"ELTD1",0
"RN7SKP247",0
"LPHN2",-0.000136336692353289
"TTLL7",0
"PRKACB",0
"SAMD13",0
"UOX",0
"DNASE2B",0
"RPF1",0
"GNG5",0
"SPATA1",0
"CTBS",0
"C1orf180",0
"SSX2IP",0
"LPAR3",0.000623147599288678
"MCOLN2",7.78008298755195e-05
"WDR63",0
"MCOLN3",0.00031416716064019
"MIR4423",0
"SYDE2",0
"C1orf52",0
"BCL10",0
"DDAH1",0
"CYR61",0
"ZNHIT6",0
"COL24A1",0
"RNA5SP51",0
"ODF2L",0
"CLCA2",0
"CLCA1",0
"CLCA4",0
"CLCA3P",0
"SH3GLB1",0
"HS2ST1",0
"LMO4",0
"RNA5SP52",-2.81564908120924e-05
"RN7SL583P",0
"PKN2",0
"GTF2B",-0.000600918790752816
"CCBL2",0
"RBMXL1",0
"GBP3",0
"GBP1",0
"GBP2",0
"GBP7",0
"GBP4",0
"GBP5",0
"GBP6",0
"GBP1P1",0
"LRRC8B",0
"LRRC8C",0
"LRRC8D",0
"RN7SKP272",0
"ZNF326",0
"BARHL2",2.51926496739774e-05
"ZNF644",0
"HFM1",0
"CDC7",0.000333432128037938
"TGFBR3",0
"RN7SL653P",0
"BRDT",0
"EPHX4",0
"BTBD8",0
"KIAA1107",0
"C1orf146",0
"ACTBP12",0
"GLMN",-0.000303793716656787
"RPAP2",0
"RN7SL824P",0
"GFI1",0.000228215767634856
"EVI5",0
"RPL5",0
"SNORD21",0
"FAM69A",0
"RN7SL692P",0
"RN7SKP123",0
"MTF2",0.00026081802015412
"TMED5",0
"CCDC18",0
"DR1",0
"FNBP1L",0
"RNA5SP53",1.63011262596324e-05
"BCAR3",0
"MIR760",0
"DNTTIP2",0
"GCLM",0
"ABCA4",0
"ARHGAP29",0
"RN7SL440P",-7.40960284528747e-06
"ABCD3",0
"F3",0
"MIR378G",0
"SLC44A3",0
"CNN3",0
"ALG14",0
"TMEM56",0
"RWDD3",0
"RN7SL831P",3.03793716656786e-05
"RN7SKP270",0
"PTBP2",0
"DPYD",0
"MIR137HG",-0.000460136336692353
"SNX7",0
"LPPR5",0
"LPPR4",0
"PALMD",0
"FRRS1",0
"AGL",0
"SLC35A3",0
"HIAT1",7.0391227030232e-05
"SASS6",0
"TRMT13",0
"LRRC39",0
"DBT",0
